Archivo Fuente,Entidad,Fecha,Caja Ahorro M/L Nominal,Caja Ahorro M/L Efectiva,Caja Ahorro M/E Nominal,Caja Ahorro M/E Efectiva,CDA <= 180 M/L Nominal,CDA <= 180 M/L Efectiva,CDA <= 180 M/E Nominal,CDA <= 180 M/E Efectiva,CDA <= 365 M/L Nominal,CDA <= 365 M/L Efectiva,CDA <= 365 M/E Nominal,CDA <= 365 M/E Efectiva,CDA > 365 M/L Nominal,CDA > 365 M/L Efectiva,CDA > 365 M/E Nominal,CDA > 365 M/E Efectiva
FINANCIERAS-Enero-2025.pdf,Financiera Paraguayo - Japonesa S.A.E.C.A.,F012025,"0,01|0,50","0,01|0,50","0,01|0,35","0,01|0,35","1,00|1,50","1,00|1,51","-|-","-|-","2,00|4,00","2,02|4,06","1,50|2,00","1,51|2,02","4,00|6,00","4,06|6,14","2,00|3,50","2,02|3,55"
FINANCIERAS-Enero-2025.pdf,Finlatina S.A. de Finanzas,F012025,"0,13|0,20","0,13|0,34","0,03|0,03","0,03|0,03","2,50|5,96","3,69|6,11","0,80|2,00","0,80|2,02","3,50|6,72","5,13|6,93","1,70|4,87","6,93|4,98","5,00|7,99","7,25|8,29","3,30|6,10","3,40|6,28"
FINANCIERAS-Enero-2025.pdf,Tu Financiera S.A.,F012025,"0,10|0,30","0,10|0,30","0,01|0,30","0,01|0,30","2,00|4,00","2,02|4,07","0,30|1,10","0,30|1,11","4,00|4,89","4,07|5,00","3,00|3,93","3,04|4,00","7,10|8,55","7,34|8,89","3,55|5,00","3,61|5,12"
FINANCIERAS-Enero-2025.pdf,FIC S.A. de Finanzas,F012025,"0,01|0,20","0,01|0,20","0,01|0,20","0,01|0,20","1,00|5,79","1,00|5,95","1,00|1,97","1,00|1,99","5,80|6,08","5,96|6,25","1,98|3,33","2,00|3,38","6,09|8,00","6,26|8,30","3,34|5,76","3,39|5,91"
BANCOS-Enero-2025.pdf,Banco Nacional de Fomento,F012025,"0,37|0,57","0,37|0,57","0,15|0,32","0,15|0,32","2,43|3,45","2,46|3,48","2,34|2,50","2,37|2,52","3,67|5,45","3,73|5,45","2,69|3,25","2,72|3,25","5,46|6,95","5,60|6,95","3,15|4,50","3,20|4,50"
BANCOS-Enero-2025.pdf,Banco de la Nación Argentina,F012025,"-|0,50","-|0,50","-|0,12","-|0,12","3,00|4,00","3,00|4,00","0,80|1,20","0,80|1,20","5,00|5,00","5,00|5,00","1,80|2,30","1,80|2,30","7,00|7,00","7,00|7,00","3,00|5,00","3,00|5,00"
BANCOS-Enero-2025.pdf,Banco GNB Paraguay S.A.,F012025,"-|0,01","-|0,01","-|0,01","-|0,01","2,50|4,00","2,53|4,07","1,05|1,50","1,06|1,51","4,00|5,00","4,07|5,13","1,50|2,00","1,51|2,02","5,00|6,00","5,13|6,18","2,00|3,00","2,02|3,04"
BANCOS-Enero-2025.pdf,Banco Do Brasil S.A.,F012025,"0,01|0,70","0,01|0,70","0,01|0,25","0,01|0,25","1,00|4,50","1,00|4,59","0,80|3,20","0,80|3,25","1,00|5,00","1,00|5,12","0,80|3,80","0,80|3,87","1,00|5,50","1,00|5,64","0,80|4,00","0,80|4,07"
BANCOS-Enero-2025.pdf,Citibank N.A.,F012025,"0,05|0,35","0,05|0,35","0,01|0,12","0,01|0,12","0,76|1,25","0,76|1,25","0,71|1,00","0,71|1,00","1,26|2,00","1,26|2,00","1,01|1,50","1,01|1,51","2,01|2,25","2,01|2,25","1,51|2,00","1,52|2,02"
BANCOS-Enero-2025.pdf,Sudameris Bank S.A.E.C.A.,F012025,"-|0,10","-|0,10","-|0,10","-|0,10","-|2,00","-|2,02","-|1,50","-|1,51","-|3,00","-|3,04","-|2,25","-|2,27","-|5,50","-|5,64","-|3,00","-|3,04"
BANCOS-Enero-2025.pdf,Banco Itaú Paraguay S.A.,F012025,"0,01|4,91","0,01|5,02","0,01|3,22","0,01|3,27","5,43|5,51","5,57|5,65","3,93|4,00","4,00|4,07","5,51|5,77","5,65|5,93","4,00|4,04","4,07|4,12","5,87|6,22","6,03|6,40","4,04|4,26","4,12|4,34"
BANCOS-Enero-2025.pdf,Banco Continental S.A.E.C.A.,F012025,"-|0,22","-|0,22","-|0,18","-|0,18","3,50|4,25","3,56|4,33","2,50|3,50","2,52|3,56","6,40|6,40","6,59|6,59","2,75|3,75","2,75|3,82","5,30|5,50","5,43|5,64","3,55|4,50","3,55|4,59"
BANCOS-Enero-2025.pdf,Banco BASA S.A.,F012025,"-|0,01","-|0,01","-|0,01","-|0,01","-|4,54","-|4,64","-|4,07","-|4,15","-|4,58","-|4,68","-|4,06","-|4,14","-|6,03","-|6,20","-|4,33","-|4,42"
BANCOS-Enero-2025.pdf,Banco Rio S.A.E.C.A.,F012025,"0,25|0,25","0,25|0,25","0,25|0,25","0,25|0,25","0,25|5,00","0,25|5,09","0,25|4,00","0,25|4,06","3,50|7,25","3,55|7,45","4,50|5,25","4,58|5,35","6,50|7,50","6,66|7,71","5,25|6,25","5,35|6,40"
BANCOS-Enero-2025.pdf,Banco Familiar S.A.E.C.A.,F012025,"0,05|0,05","0,05|0,05","0,01|0,01","0,01|0,01","1,65|3,15","1,66|3,20","1,50|2,25","1,51|2,27","1,65|3,80","1,66|3,87","1,50|2,50","1,51|2,53","5,75|7,00","5,90|7,23","3,65|5,05","3,71|5,17"
